rider_name;rider_surname;team_name;bike_name;points;number;country
Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;0;12;ES
Zarco; Johann;Pramac Racing;Ducati;0;5;FR
Bagnaia; Francesco;Ducati Lenovo Team;Ducati;0;63;IT
Mir; Joan;Team SUZUKI ECSTAR;Suzuki;0;36;ES
Quartararo; Fabio;Monster Energy Yamaha MotoGP;Yamaha;0;20;FR
Rins; Alex;Team SUZUKI ECSTAR;Suzuki;0;42;ES
Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;0;41;ES
Espargaro; Pol;Repsol Honda Team;Honda;0;44;ES
Miller; Jack;Ducati Lenovo Team;Ducati;0;43;AU
Bastianini; Enea;Esponsorama Racing;Ducati;0;23;IT
Bradl; Stefan;Repsol Honda Team;Honda;0;6;DE
Rossi; Valentino;Petronas Yamaha SRT;Yamaha;0;46;IT
Oliveira; Miguel;Red Bull KTM Factory Racing;KTM;0;88;PT
Binder; Brad;Red Bull KTM Factory Racing;KTM;0;33;ZA
Martin; Jorge;Pramac Racing;Ducati;0;89;ES
Marini; Luca;SKY VR46 Esponsorama;Ducati;0;10;IT
Lecuona; Iker;Tech 3 KTM Factory Racing;KTM;0;27;ES
Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;0;21;IT
Savadori; Lorenzo;Aprilia Racing Team Gresini;Aprilia;0;32;IT
Marquez; Alex;LCR Honda CASTROL;Honda;0;73;ES
Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;0;30;JP
Petrucci; Danilo;Tech 3 KTM Factory Racing;KTM;0;9;IT
