0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
year;category;sequence;shortname;circuit_name;rider_name;rider_surname;team_name;bike_name;position;points;number;country;speed;time
2020;MotoGP;2;SPA;Jerez;Quartararo; Fabio;Petronas Yamaha SRT;Yamaha;1;25;20;FR;160.2;00:41:23
2020;MotoGP;2;SPA;Jerez;Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;2;20;12;ES;159.9;00:41:27
2020;MotoGP;2;SPA;Jerez;Dovizioso; Andrea;Ducati Team;Ducati;3;16;4;IT;159.8;00:41:31
2020;MotoGP;2;SPA;Jerez;Miller; Jack;Pramac Racing;Ducati;4;13;43;AU;159.8;00:41:35
2020;MotoGP;2;SPA;Jerez;Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;5;11;21;IT;159.8;00:41:39
2020;MotoGP;2;SPA;Jerez;Espargaro; Pol;Red Bull KTM Factory Racing;KTM;6;10;44;ES;159.8;00:41:43
2020;MotoGP;2;SPA;Jerez;Bagnaia; Francesco;Pramac Racing;Ducati;7;9;63;IT;159.4;00:41:47
2020;MotoGP;2;SPA;Jerez;Oliveira; Miguel;Red Bull KTM Tech 3;KTM;8;8;88;PT;159.4;00:41:51
2020;MotoGP;2;SPA;Jerez;Petrucci; Danilo;Ducati Team;Ducati;9;7;9;IT;159.0;00:41:55
2020;MotoGP;2;SPA;Jerez;Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;10;6;30;JP;158.8;00:41:59
2020;MotoGP;2;SPA;Jerez;Zarco; Johann;Hublot Reale Avintia Racing;Ducati;11;5;5;FR;158.6;00:42:03
2020;MotoGP;2;SPA;Jerez;Marquez; Alex;Repsol Honda Team;Honda;12;4;73;ES;158.5;00:42:07
2020;MotoGP;2;SPA;Jerez;Binder; Brad;Red Bull KTM Factory Racing;KTM;13;3;33;ZA;158.3;00:42:11
2020;MotoGP;2;SPA;Jerez;Rabat; Tito;Hublot Reale Avintia Racing;Ducati;14;2;53;ES;158.1;00:42:15
2020;MotoGP;2;SPA;Jerez;Smith; Bradley;Aprilia Racing Team Gresini;Aprilia;15;1;38;GB;157.7;00:42:19
2020;MotoGP;2;SPA;Jerez;Marquez; Marc;Repsol Honda Team;Honda;-1;0;93;ES;160.0;00:42:23
2020;MotoGP;2;SPA;Jerez;Lecuona; Iker;Red Bull KTM Tech 3;KTM;-1;0;27;ES;159.0;00:42:27
2020;MotoGP;2;SPA;Jerez;Rossi; Valentino;Monster Energy Yamaha MotoGP;Yamaha;-1;0;46;IT;159.1;00:42:31
2020;MotoGP;2;SPA;Jerez;Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;-1;0;41;ES;153.0;00:42:35
2020;MotoGP;2;SPA;Jerez;Mir; Joan;Team SUZUKI ECSTAR;Suzuki;-1;0;36;ES;147.7;00:42:39
2020;MotoGP;3;ANC;Jerez;Quartararo; Fabio;Petronas Yamaha SRT;Yamaha;1;25;20;FR;160.3;00:42:43
2020;MotoGP;3;ANC;Jerez;Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;2;20;12;ES;160.0;00:42:47
2020;MotoGP;3;ANC;Jerez;Rossi; Valentino;Monster Energy Yamaha MotoGP;Yamaha;3;16;46;IT;159.9;00:42:51
2020;MotoGP;3;ANC;Jerez;Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;4;13;30;JP;159.9;00:42:55
2020;MotoGP;3;ANC;Jerez;Mir; Joan;Team SUZUKI ECSTAR;Suzuki;5;11;36;ES;159.8;00:42:59
2020;MotoGP;3;ANC;Jerez;Dovizioso; Andrea;Ducati Team;Ducati;6;10;4;IT;159.5;00:43:03
2020;MotoGP;3;ANC;Jerez;Espargaro; Pol;Red Bull KTM Factory Racing;KTM;7;9;44;ES;159.2;00:43:07
2020;MotoGP;3;ANC;Jerez;Marquez; Alex;Repsol Honda Team;Honda;8;8;73;ES;159.0;00:43:11
2020;MotoGP;3;ANC;Jerez;Zarco; Johann;Hublot Reale Avintia;Ducati;9;7;5;FR;158.8;00:43:15
2020;MotoGP;3;ANC;Jerez;Rins; Alex;Team SUZUKI ECSTAR;Suzuki;10;6;42;ES;158.6;00:43:19
2020;MotoGP;3;ANC;Jerez;Rabat; Tito;Hublot Reale Avintia;Ducati;11;5;53;ES;158.1;00:43:23
2020;MotoGP;3;ANC;Jerez;Smith; Bradley;Aprilia Racing Team Gresini;Aprilia;12;4;38;GB;158.0;00:43:27
2020;MotoGP;3;ANC;Jerez;Crutchlow; Cal;LCR Honda CASTROL;Honda;13;3;35;GB;151.1;00:43:31
2020;MotoGP;3;ANC;Jerez;Bagnaia; Francesco;Pramac Racing;Ducati;-1;0;63;IT;160.1;00:43:35
2020;MotoGP;3;ANC;Jerez;Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;-1;0;21;IT;159.9;00:43:39
2020;MotoGP;3;ANC;Jerez;Binder; Brad;Red Bull KTM Factory Racing;KTM;-1;0;33;ZA;158.1;00:43:43
2020;MotoGP;3;ANC;Jerez;Petrucci; Danilo;Ducati Team;Ducati;-1;0;9;IT;159.2;00:43:47
2020;MotoGP;3;ANC;Jerez;Miller; Jack;Pramac Racing;Ducati;-1;0;43;AU;159.6;00:43:51
2020;MotoGP;3;ANC;Jerez;Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;-1;0;41;ES;158.5;00:43:55
2020;MotoGP;3;ANC;Jerez;Lecuona; Iker;Red Bull KTM Tech 3;KTM;-1;0;27;ES;156.7;00:43:59
2020;MotoGP;3;ANC;Jerez;Oliveira; Miguel;Red Bull KTM Tech 3;KTM;-4;0;88;PT;;00:44:03
2020;MotoGP;4;CZE;Brno;Binder; Brad;Red Bull KTM Factory Racing;KTM;1;25;33;ZA;163.4;00:44:07
2020;MotoGP;4;CZE;Brno;Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;2;20;21;IT;163.1;00:44:11
2020;MotoGP;4;CZE;Brno;Zarco; Johann;Esponsorama Racing;Ducati;3;16;5;FR;163.0;00:44:15
2020;MotoGP;4;CZE;Brno;Rins; Alex;Team SUZUKI ECSTAR;Suzuki;4;13;42;ES;163.0;00:44:19
2020;MotoGP;4;CZE;Brno;Rossi; Valentino;Monster Energy Yamaha MotoGP;Yamaha;5;11;46;IT;162.9;00:44:23
2020;MotoGP;4;CZE;Brno;Oliveira; Miguel;Red Bull KTM Tech 3;KTM;6;10;88;PT;162.9;00:44:27
2020;MotoGP;4;CZE;Brno;Quartararo; Fabio;Petronas Yamaha SRT;Yamaha;7;9;20;FR;162.6;00:44:31
2020;MotoGP;4;CZE;Brno;Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;8;8;30;JP;162.6;00:44:35
2020;MotoGP;4;CZE;Brno;Miller; Jack;Pramac Racing;Ducati;9;7;43;AU;162.4;00:44:39
2020;MotoGP;4;CZE;Brno;Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;10;6;41;ES;162.4;00:44:43
2020;MotoGP;4;CZE;Brno;Dovizioso; Andrea;Ducati Team;Ducati;11;5;4;IT;162.3;00:44:47
2020;MotoGP;4;CZE;Brno;Petrucci; Danilo;Ducati Team;Ducati;12;4;9;IT;162.2;00:44:51
2020;MotoGP;4;CZE;Brno;Crutchlow; Cal;LCR Honda CASTROL;Honda;13;3;35;GB;162.2;00:44:55
2020;MotoGP;4;CZE;Brno;Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;14;2;12;ES;162.1;00:44:59
2020;MotoGP;4;CZE;Brno;Marquez; Alex;Repsol Honda Team;Honda;15;1;73;ES;161.8;00:45:03
2020;MotoGP;4;CZE;Brno;Rabat; Tito;Esponsorama Racing;Ducati;16;0;53;ES;161.5;00:45:07
2020;MotoGP;4;CZE;Brno;Smith; Bradley;Aprilia Racing Team Gresini;Aprilia;17;0;38;GB;161.3;00:45:11
2020;MotoGP;4;CZE;Brno;Bradl; Stefan;Repsol Honda Team;Honda;18;0;6;DE;159.8;00:45:15
2020;MotoGP;4;CZE;Brno;Espargaro; Pol;Red Bull KTM Factory Racing;KTM;-1;0;44;ES;163.5;00:45:19
2020;MotoGP;4;CZE;Brno;Mir; Joan;Team SUZUKI ECSTAR;Suzuki;-1;0;36;ES;160.2;00:45:23
2020;MotoGP;4;CZE;Brno;Lecuona; Iker;Red Bull KTM Tech 3;KTM;-1;0;27;ES;160.1;00:45:27
2020;MotoGP;5;AUT;Spielberg;Dovizioso; Andrea;Ducati Team;Ducati;1;25;4;IT;182.7;00:45:31
2020;MotoGP;5;AUT;Spielberg;Mir; Joan;Team SUZUKI ECSTAR;Suzuki;2;20;36;ES;182.6;00:45:35
2020;MotoGP;5;AUT;Spielberg;Miller; Jack;Pramac Racing;Ducati;3;16;43;AU;182.6;00:45:39
2020;MotoGP;5;AUT;Spielberg;Binder; Brad;Red Bull KTM Factory Racing;KTM;4;13;33;ZA;182.1;00:45:43
2020;MotoGP;5;AUT;Spielberg;Rossi; Valentino;Monster Energy Yamaha MotoGP;Yamaha;5;11;46;IT;182.1;00:45:47
2020;MotoGP;5;AUT;Spielberg;Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;6;10;30;JP;182.1;00:45:51
2020;MotoGP;5;AUT;Spielberg;Petrucci; Danilo;Ducati Team;Ducati;7;9;9;IT;181.4;00:45:55
2020;MotoGP;5;AUT;Spielberg;Quartararo; Fabio;Petronas Yamaha SRT;Yamaha;8;8;20;FR;181.4;00:45:59
2020;MotoGP;5;AUT;Spielberg;Lecuona; Iker;Red Bull KTM Tech 3;KTM;9;7;27;ES;181.2;00:46:03
2020;MotoGP;5;AUT;Spielberg;Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;10;6;12;ES;181.1;00:46:07
2020;MotoGP;5;AUT;Spielberg;Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;11;5;41;ES;180.8;00:46:11
2020;MotoGP;5;AUT;Spielberg;Pirro; Michele;Pramac Racing;Ducati;12;4;51;IT;180.3;00:46:15
2020;MotoGP;5;AUT;Spielberg;Smith; Bradley;Aprilia Racing Team Gresini;Aprilia;13;3;38;GB;180.1;00:46:19
2020;MotoGP;5;AUT;Spielberg;Marquez; Alex;Repsol Honda Team;Honda;14;2;73;ES;180.1;00:46:23
2020;MotoGP;5;AUT;Spielberg;Crutchlow; Cal;LCR Honda CASTROL;Honda;15;1;35;GB;179.8;00:46:27
2020;MotoGP;5;AUT;Spielberg;Rabat; Tito;Esponsorama Racing;Ducati;16;0;53;ES;179.7;00:46:31
2020;MotoGP;5;AUT;Spielberg;Bradl; Stefan;Repsol Honda Team;Honda;17;0;6;DE;179.7;00:46:35
2020;MotoGP;5;AUT;Spielberg;Rins; Alex;Team SUZUKI ECSTAR;Suzuki;-1;0;42;ES;182.6;00:46:39
2020;MotoGP;5;AUT;Spielberg;Espargaro; Pol;Red Bull KTM Factory Racing;KTM;-1;0;44;ES;182.1;00:46:43
2020;MotoGP;5;AUT;Spielberg;Oliveira; Miguel;Red Bull KTM Tech 3;KTM;-1;0;88;PT;182.1;00:46:47
2020;MotoGP;5;AUT;Spielberg;Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;-1;0;21;IT;;00:46:51
2020;MotoGP;5;AUT;Spielberg;Zarco; Johann;Esponsorama Racing;Ducati;-1;0;5;FR;;00:46:55
2020;MotoGP;6;STY;Spielberg;Oliveira; Miguel;Red Bull KTM Tech 3;KTM;1;25;88;PT;183.5;00:46:59
2020;MotoGP;6;STY;Spielberg;Miller; Jack;Pramac Racing;Ducati;2;20;43;AU;183.5;00:47:03
2020;MotoGP;6;STY;Spielberg;Espargaro; Pol;Red Bull KTM Factory Racing;KTM;3;16;44;ES;183.4;00:47:07
2020;MotoGP;6;STY;Spielberg;Mir; Joan;Team SUZUKI ECSTAR;Suzuki;4;13;36;ES;183.4;00:47:11
2020;MotoGP;6;STY;Spielberg;Dovizioso; Andrea;Ducati Team;Ducati;5;11;4;IT;183.3;00:47:15
2020;MotoGP;6;STY;Spielberg;Rins; Alex;Team SUZUKI ECSTAR;Suzuki;6;10;42;ES;183.3;00:47:19
