rider_name;rider_surname;team_name;bike_name;points;number;country
Viñales; Maverick;Monster Energy Yamaha MotoGP;Yamaha;;12;ES
Zarco; Johann;Pramac Racing;Ducati;;5;FR
Bagnaia; Francesco;Ducati Lenovo Team;Ducati;;63;IT
Mir; Joan;Team SUZUKI ECSTAR;Suzuki;;36;ES
Quartararo; Fabio;Monster Energy Yamaha MotoGP;Yamaha;;20;FR
Rins; Alex;Team SUZUKI ECSTAR;Suzuki;;42;ES
Espargaro; Aleix;Aprilia Racing Team Gresini;Aprilia;;41;ES
Espargaro; Pol;Repsol Honda Team;Honda;;44;ES
Miller; Jack;Ducati Lenovo Team;Ducati;;43;AU
Bastianini; Enea;Esponsorama Racing;Ducati;;23;IT
Bradl; Stefan;Repsol Honda Team;Honda;;6;DE
Rossi; Valentino;Petronas Yamaha SRT;Yamaha;;46;IT
Oliveira; Miguel;Red Bull KTM Factory Racing;KTM;;88;PT
Binder; Brad;Red Bull KTM Factory Racing;KTM;;33;ZA
Martin; Jorge;Pramac Racing;Ducati;;89;ES
Marini; Luca;SKY VR46 Esponsorama;Ducati;;10;IT
Lecuona; Iker;Tech 3 KTM Factory Racing;KTM;;27;ES
Morbidelli; Franco;Petronas Yamaha SRT;Yamaha;;21;IT
Savadori; Lorenzo;Aprilia Racing Team Gresini;Aprilia;;32;IT
Marquez; Alex;LCR Honda CASTROL;Honda;;73;ES
Nakagami; Takaaki;LCR Honda IDEMITSU;Honda;;30;JP
Petrucci; Danilo;Tech 3 KTM Factory Racing;KTM;;9;IT
